time,source_flow_lps,leak_flow_lps,p_true_J3,p_sensor_J3,p_true_J6,p_sensor_J6,p_true_J9,p_sensor_J9,p_true_J11,p_sensor_J11,p_true_J13,p_sensor_J13,leak_active
2025-01-01 00:00:00,17.341534951364427,0.0,69.90188265045074,69.74588503451467,66.87792988448398,66.99049756385494,68.86114507725414,69.00222978471282,72.81403348381868,72.5213782055206,61.80915301880596,61.61382609277661,False
2025-01-01 00:15:00,17.303063127389215,0.0,69.90300436409524,69.9004841904696,66.87932543496302,66.75136884582699,68.86273251782569,68.99464221405512,72.81615952146227,72.9328283117766,61.811334851721455,61.821239456355634,False
2025-01-01 00:30:00,17.34804881584751,0.0,69.90158664711679,69.7726927776843,66.87756161973441,66.93287423734678,68.86072617559957,68.71689378547522,72.81347245451008,72.94523999970616,61.80857726596555,61.80108837931761,False
2025-01-01 00:45:00,17.187658171600706,0.0,69.90365851032217,70.08703971112328,66.88013927375756,66.85695985144724,68.86365826056355,68.79940908723908,72.81739935616488,72.76457932359165,61.81260722437776,61.89245360221076,False
2025-01-01 01:00:00,17.394618771836896,0.0,69.90168133336897,69.96630448382015,66.87767942114048,67.19892656127105,68.86086017485955,68.79989792240185,72.81365191790287,72.73681550854214,61.80876143915681,61.68669552991963,False
2025-01-01 01:15:00,17.514279911669682,0.0,69.90037144604797,69.88327932739973,66.87604975933944,66.75002628779505,68.85900643234005,68.73533424998637,72.81116922566962,72.90875814384331,61.80621359168576,61.91770171736628,False
2025-01-01 01:30:00,17.214228026995915,0.0,69.90360614457732,69.93843034303734,66.88007412429573,66.89757699566684,68.86358415296189,68.89638744247124,72.81730010485825,72.94801442155048,61.81250536834129,61.846044700657494,False
2025-01-01 01:45:00,17.253008494055276,0.0,69.90225408386719,69.94562199367068,66.87839199358359,66.97308522745938,68.86167072698458,68.64309735400623,72.81473747937888,72.76678679692529,61.809875489873335,61.73931959172941,False
2025-01-01 02:00:00,17.25497888553672,0.0,69.90281282396974,70.1270540206549,66.879087135362,66.74921246800801,68.86246145170487,69.0077032048936,72.81579648628029,72.56336602053793,61.81096228912271,61.76072953462485,False
2025-01-01 02:15:00,17.390671905799817,0.0,69.90113365155256,70.00781763852149,66.87699803723747,66.99600012251746,68.8600850997413,68.80777633890403,72.81261387030132,72.74326110140163,61.807696149258604,61.936392531447176,False
2025-01-01 02:30:00,17.073439634009404,0.0,69.90428033425337,69.73428725215285,66.8809128996195,66.74299505671927,68.86453826103572,68.93911237264378,72.81857792887084,72.83994178928143,61.81381672729077,61.91738953040094,False
2025-01-01 02:45:00,17.363127082822412,0.0,69.90128414294969,69.9951227020448,66.87718526714441,66.83078328618637,68.86029807401567,68.92881435964928,72.81289910386069,72.71361021270069,61.80798886842581,61.75353079144105,False
2025-01-01 03:00:00,17.267654298312323,0.0,69.90304166055239,69.97608753267022,66.87937183636761,66.8089614853372,68.86278529948663,68.86465941729578,72.81623021122537,72.88834221006125,61.811407396651404,61.8783870730559,False
2025-01-01 03:15:00,17.459922218942395,0.0,69.89980546307993,69.8363107162733,66.87534560654065,66.86338787490469,68.85820545757193,68.60510529247823,72.81009649101796,72.5930296201545,61.80511270441801,61.606707762564845,False
2025-01-01 03:30:00,17.746048770248645,0.0,69.89679220879324,69.76097035048923,66.87159674560483,66.81487236249893,68.85394112314881,69.04882536781672,72.8043853257182,72.75094573005899,61.79925165653185,61.90987899180191,False
2025-01-01 03:45:00,18.035540786827287,0.0,69.89457257221902,69.75206926398243,66.86883524323783,66.81798028185274,68.85079991044319,68.97684613106179,72.80017834211343,72.54108027863457,61.79493426575968,61.860097812291556,False
2025-01-01 04:00:00,18.55426407575604,0.0,69.89000124075386,69.6730925625956,66.86314794162834,66.87396736778543,68.84433059711222,68.76490669075265,72.79151407844546,72.82641551014866,61.786042619030724,61.78932044085924,False
2025-01-01 04:15:00,19.271353048172028,0.0,69.88090954219905,69.72738491830577,66.85183674439445,66.87872808963789,68.83146409484478,68.86446359744055,72.7742821463339,72.97816028261997,61.768358455821286,61.89362514270847,False
2025-01-01 04:30:00,20.732194508476567,0.0,69.86393291507581,69.68561845692739,66.83071572101242,66.73475299109997,68.80743890196587,68.66845251075503,72.74210553111637,72.683634060643,61.7353374044761,61.52883448234265,False
2025-01-01 04:45:00,22.137942041302473,0.0,69.84890828891335,69.62828734473796,66.81202322819989,66.65968636601876,68.7861761659191,68.83320324303664,72.71362863689517,72.83934762207932,61.70611316880455,62.005622802558314,False
2025-01-01 05:00:00,24.102329603377164,0.0,69.81848526972243,69.67005455171766,66.77417323037545,66.45436628826576,68.74312174181513,68.7832784611667,72.65596643019441,72.53402526589787,61.64693768762764,61.58463409860069,False
2025-01-01 05:15:00,26.8010750130905,0.0,69.77926516181837,69.93916219643651,66.72537856638996,66.74893585150677,68.68761774503862,68.66382251948282,72.58163067953797,72.42628261661409,61.570651085615125,61.319448643909475,False
2025-01-01 05:30:00,30.386350297223235,0.0,69.72048921327317,69.98567870031015,66.65225401847428,66.67179519669521,68.60443847213674,68.7518493987902,72.47022980664009,72.39533546685922,61.45632663231294,61.278585067350384,False
